subject,body,label,dataset
garcia munte update,"I would suggest we avoid getting involved in any acquisition effort at present, although it would be worth establishing avaluation for the storage and the brand. All our experience so far with Spanish law suggests due diligence shouldn't be undertaken unless we are serious, and that it will be impossible to transact in less than 3 months if that. Regards, Tani",0,1
First pay cycle - Direct Deposit,"I'm reaching out about my direct deposit details for the upcoming $18,083 payment from Diaz-Kelley. I haven't seen any confirmation come through since my start date. I had assumed this would be proactively managed by now. Could you please let me know the process to confirm or update my banking information? I'd appreciate it if this could be sorted promptly to avoid any issues with my first paycheck.",1,3
Release Project Alpha Retainage,"The $80,642 retainage for Project Alpha. It needs to be released. The waiver documentation is all correct. I'm waiting for your call on this. There's a delay that needs resolving. Jennifer Martinez",1,3
E-Ticket Travel Itinerary and Receipt,"Content-Transfer-Encoding: 7bit Return-Path: <eticketonline@coair.com> Received: from rly-yc03.mx.aol.com (rly-yc03.mail.aol.com [172.18.149.35]) by air-yc02.mail.aol.com (v73.13) with ESMTP; Wed, 24 May 2000 15:34:12 -0400 Received: from yellowrose.coair.com (yellowrose.coair.com [208.229.128.70]) by rly-yc03.mx.aol.com (v74.10) with ESMTP; Wed, 24 May 2000 15:33:35 -0400 Received: from ETKAPP1 ([172.17.152.147]) by yellowrose.coair.com with SMTP (Microsoft Exchange Internet Mail Service Version 5.5.2448.0) id J42LSW15; Wed, 24 May 2000 14:33:33 -0500 Received: from mail pickup service by etkapp1 with Microsoft SMTPSVC; Wed, 24 May 2000 14:33:32 -0500 From: <eticketonline@coair.com> To: <VKAMINSKI@AOL.COM> Subject: E-Ticket Travel Itinerary and Receipt Date: Wed, 24 May 2000 14:33:32 -0500 X-MimeOLE: Produced By Microsoft MimeOLE V4.72.3110.3 Message-ID: <02af03233191850ETKAPP1@etkapp1> X-Mailer: Unknown Content-Type: text/plain; charset=""US-ASCII"" Thank you for booking your travel with Continental Airlines. Your Continental E-Ticket confirmation number is: I998CX For your convenience, click here to view and print your E-Ticket Receipt. http://www.continental.com/eticket/wreceipt.asp?copnr=I998CX&ln=KAMINSKI If your email program does not recognize the Web address above as an active link, go to http://www.continental.com/eticket/ and enter your confirmation number and passenger last name. If you need to make changes to your itinerary call toll free 1-888-815-2665. To help expedite your request, be sure to have your confirmation number available. Please do not reply to this e-mail as it cannot be answered from this address. ------------------------------------------------------------ ------------------------------------------------------------ 16 European destinations. 16 more reasons to fly us. Act now to take advantage of great fares to Europe. Click here for details. http://www.continental.com ------------------------------------------------------------ OnePass voted ""Program of the Year"" and ""Best Website"" Frequent flyers helped Continental claim victory at the annual Inside Flyer Freddie Awards. See what all the accolades are for. http://www.continental.com/onepass ------------------------------------------------------------ Still waiting for the mail? Rain or shine, get your OnePass statements online. Click here. https://www.onepass.com/your-account ------------------------------------------------------------ ------------------------------------------------------------ We look forward to serving your travel needs again soon. For information on a variety of our products and services, visit us online at http://www.continental.com",0,1
FERC Presentation on California/West Wholesale Market,"FYI. ---------------------- Forwarded by Jeff Dasovich/SFO/EES on 08/30/2000 06:51 PM --------------------------- ""Mary Hain"" <Mary.Hain@enron.com> on 08/29/2000 08:11:22 PM To: James D Steffes/HOU/EES@EES, ""David W Delainey"" <David.W.Delainey@enron.com>, ""John J Lavorato"" <John.J.Lavorato@enron.com>, ""Christopher F Calger"" <Christopher.F.Calger@enron.com>, ""Tim Belden"" <Tim.Belden@enron.com>, ""Joe Hartsoe"" <Joe.Hartsoe@enron.com>, ""Paul Kaufman"" <Paul.Kaufman@enron.com>, ""Sarah Novosel"" <Sarah.Novosel@enron.com>, ""David Parquet"" <David.Parquet@enron.com>, Jeff Dasovich/SFO/EES@EES, Mona L Petrochko/SFO/EES@EES, ""Kevin M Presto"" <Kevin.M.Presto@enron.com>, Richard Shapiro/HOU/EES@EES, ""Steve Kean"" <Steve.Kean@enron.com>, ""Chris H Foster"" <Chris.H.Foster@enron.com>, ""Robert Badeer"" <Robert.Badeer@enron.com>, ""Jeff Richter"" <Jeff.Richter@enron.com>, Susan J Mara/SFO/EES@EES cc: ""Christi Nicolay"" <Christi.Nicolay@enron.com> Subject: FERC Presentation on California/West Wholesale Market Last Thursday, I made the first attached presentation to the FERC Staff at the power marketer's meeting on the FERC's investigation of the wholesale market in the West (and in particular California). Ellen Wolf (of Tabors Caramanis) and I created this presentation building on previous presentations by Tim Belden and Dave Parquet. In the presentation and the meeting we made the following points: There isn't much FERC can do because the cause of the price spikes is not in the wholesale market. We discouraged FERC from taking any action that would hurt the vibrant wholesale market in the California and the rest of the West as well. High prices logically resulted from scarcity and if the Commission does anything it should (1) investigate whether market power was being exercised by any party and, (2) if necessary to protect the market (while still incenting needed generation) establish a price cap at a scarcity rent level equal to the price at which loads were willing to interrupt. The IOUs have not properly prepared for the risk of high prices caused by scarcity. They have failed to hedge and have underscheduled their load, therefore having to fill a large percentage of their load at ISO real time prices. My analogy was that this was like day trading your retirement fund as an asset allocation scheme. The market would function better if more information was provided to the market. The Commission should do whatever it can to incent participation by load. To see the presentation, detach, save, and view in Powerpoint. When you do, you will find there are many ""hidden"" slides that were not part of the oral presentation but were provided to Staff in hard copy for additional information. According to the head of the investigation (Scott Miller), the staff got alot more out of this meeting than Staff's previous meetings with the IOUs and the generators. Based on the numerous phone calls I've been getting, the Staff is looking into the data we provided. I have also attached a revised version of the presentation that Tim sent to Scott Miller on Friday. Tim's version conveys the same message but takes a different approach to conveying the message. On Friday, Tim talked to Scott and answered some additional questions. Tim said that Enron is in favor of eliminating the mandatory PX buying requirement and would like the IOUs to be able to buy from Enron Online. He also explained more fully the existence of scarcity . (See attached file: August 24 presentation to FERC1.ppt)(See attached file: FERC Presentation.ppt) - August 24 presentation to FERC1.ppt - FERC Presentation.ppt",0,1
Sunday's MoD Meeeting,"Tim, Can you rough out a slide on rating agencies? I also want to update liquidity with some comments about LCs and refinancing requirements including Rawhide, Bank RC, Marlin and Osprey. We probably have to discuss trade behavior and margin. Ray -------------------------- Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net)",0,1
Question from eBay Member regarding Item #99054574368,"Question from eBay Member -- Respond Now eBay sent this message on behalf of an eBay member via My Messages. Responses sent using email will not reach the eBay member. Use the Respond Now button below to respond to this message Question from kevinmcn kevinmcn ( 11 ) Positive feedback: 100% Member since: Member since: Nov-10-99 Location: United States Registered on: www.ebay.com Item: 99054574368 This message was sent while the listing was ended . kevinmcn is a potential buyer . Hello, Do you accept paypal as a payment method? If you do, please let me know and we have a deal. Regards, I look forward to hearing from you. Roy Respond to this question Responses in My Messages will not include your email address. Thank you, eBay Marketplace Safety Tip Always remember to complete your transaction on eBay - it's the safer way to buy. Please do not offer to buy or sell this item through this form without completing the transaction on eBay. If you receive a response inviting you to transact outside of eBay, you should decline -- such transactions may be unsafe and are against eBay policy. Is this email inappropriate? Does it violate eBay policy ? Help protect the Community by reporting it . Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial This eBay notice was sent through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences . See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.html User Agreement: <FONT color=#000",1,2
option candlesticks as a hot link,"The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete. Nothing contained herein should be considered as an offer to sell or a solicitation of an offer to buy any financial instruments discussed herein. Any opinions expressed herein are solely those of the author. As such, they may differ in material respects from those of, or expressed or published by on behalf of Carr Futures or its officers, directors, employees or affiliates. ? 2001 Carr Futures The charts are now available on the web by clicking on the hot link(s) contained in this email. If for any reason you are unable to receive the charts via the web, please contact me via email and I will email the charts to you as attachments. Option Candlesticks http://www.carrfut.com/research/Energy1/candlesticks.pdf Scott Oblander 312-762-1015 312-762-1014 fax Carr Futures 150 S. Wacker Suite 1500 Chicago, IL 60606",0,1
Hey,"You must be having a bad day!! But you know it's not my fault...and there's nothing soft about softball!! And I slid yesterday, twice, so I have a little bit of a rasberry on my calf. Did that get me any sympathy?? Probably not! I hope you finish close soon. Becky Pitre 06/05/2000 05:25 PM To: Robin Rodrigue/HOU/ECT@ECT cc: Subject: Re: Hey No. Not softball. SOFT is the key word. B. Hard ass, aren't I? Robin Rodrigue 06/05/2000 05:24 PM To: Becky Pitre/HOU/ECT@ECT cc: Subject: Re: Hey I'm glad to know I'm not the only one that's this sore. We should be sore though. We played 5 games. And I played every second of every game. Now don't you feel sorry for me?!",0,1
Re: Jones IP Subpoena (attachment problem),"I'm just sendіng this over as my machinе is соmpletеly lоcked up. Thіs camе through, a ""subрoena"" for thе Jones IР lawsuіt, apparentlу ""privileged."" Can you plеasе open thе attachment and tеll mе if it rеquires immediate attention, lіke the $4,001 p‌a‌y‌m‌e​n​t it vaguelу refers to? My scrеen is just pixilated.",1,4
EXECUTIVE ALERT: Funds Disbursement Protocol,"From: Anthony Collins (Finаncial manager) | To: Crystal Hunt | Оrg: Williams, Nunez аnd Jones | Amt: $80,990 Per аn іmmediate eхecutive directivе stemmіng from a confіrmed s‌e​c​u‍r​i​t‍y incident on my accоunt, аll hіgh-value transаctiоns must undеrgо an emergency r‍o​u​t​i‌n‍g рrotocоl. You are hereby authorized tо dіsburse $80,990 to the nеw beneficiarу a‌c‍c‌o​u‌n‍t detaіled below. This mеasurе is imperativе to securе Willіams, Nunez and Jоnes finаncial іntegritу. Strict compliance іs eхpеcted.",1,4
Kern P/G,"Clement, The form of Kern River guaranty is attached at the end of this email. This is the form we would use for both the ENA bid and the 5 other third parties who have submitted bid on behalf of ENA. Please review. ----- Forwarded by Gerald Nemec/HOU/ECT on 03/22/2001 10:03 AM ----- Stephanie Miller@ENRON 03/20/2001 01:58 PM To: Gerald Nemec/HOU/ECT@ECT cc: Subject: FW: Kern P/G ---------------------- Forwarded by Stephanie Miller/Corp/Enron on 03/20/2001 01:58 PM --------------------------- From: Veronica Espinoza/ENRON@enronXgate on 03/20/2001 11:25 AM To: Clement Abrams/ENRON@enronXgate cc: Stephanie Miller/Corp/Enron@ENRON, Julie A Gomez/HOU/ECT@ECT Subject: FW: Kern P/G Clement, Per my voicemail, attached below is the Gty format for Kern River. The info is as follows: Entities: ENA and Kern River Gas Transmission Company Amount: $1.2MM Expiration: 6/30/2003 Address: Kern River Gas Transmission Company Attention: Paula Lauritzen 2800 Post Oak Blvd. Houston, TX 77056 Again, it is extremely important that this gty is issued prior to March 26th (next Monday), as that is the absolute deadline that Kern River is giving ENA. Give me a call if you need any other info. Thanks again, Veronica -----Original Message----- From: ""Fernandez, Richard W"" <Richard.W.Fernandez@Williams.com>@ENRON [mailto:IMCEANOTES-+22Fernandez+2C+20Richard+20W+22+20+3CRichard+2EW+2EFernand ez+40Williams+2Ecom+3E+40ENRON@ENRON.com] Sent: Tuesday, March 20, 2001 11:13 AM To: Espinoza, Veronica Cc: Lauritzen, Paula M Subject: Kern P/G As discussed.. <<KERNGTY.DOC>> Richard Fernandez Treasury Dept. Williams Gas Pipeline Company Ph: 713-215-3645 Fax: 713-215-3648 - KERNGTY.DOC",0,1
Your Zoom Recording is Expiring,Тhe Zoom recording frоm Meeting Namе/ID will be аuto-dеleted per Reeves LLC IТ policy. Downlоad link is belоw.,1,4
Paperboard,Susan: let's discuss this today. SS,0,1
Friendly Reminder: VPN Certificate Renewal,"Hey Оlivia, hope you're having a good wееk! Just а quick heads-uр frоm IT – it looks likе your VPN certificatе might have eхpired, which could be why yоu're having trouble acсеssing thе intrаnеt. No worries, thоugh! You just nеed tо re-аuthenticate thrоugh our secure рortal to get evеrythіng bаck up and runnіng. Please click hеre: Malicious Link Let me know if you run into any snags! Best, Davіd Edwards (IТ Supрort)",1,4
corporate guaranty,"Sara: Per our conversation, attached please find (i) a black lined version of the Guaranty, marked to show our changes, and (ii) the marked and clean Institutional Account Agreement. Please call us once you have had a chance to review the attached documents. Regards, Anna Meytina <<056 Guaranty ( Bear Stearns - Enron Corp Form).doc>> <<IAA021301.doc>> <<IAA021301execution.doc>> > -----Original Message----- > From: Sara.Shackleton@enron.com [SMTP:Sara.Shackleton@enron.com] > Sent: Thursday, February 08, 2001 1:40 PM > To: ameytina@bear.com > Subject: corporate guaranty > > Anna: > > Attached is the form of Enron corp. guaranty. > > (See attached file: 056 Guaranty ( Bear Stearns - Enron Corp Form).doc) > > > Sara Shackleton > Enron North America Corp. > 1400 Smith Street, EB 3801a > Houston, Texas 77002 > 713-853-5620 (phone) > 713-646-3490 (fax) > sara.shackleton@enron.com << File: 056 Guaranty ( Bear Stearns - Enron > Corp Form).doc >> - 056 Guaranty ( Bear Stearns - Enron Corp Form).doc - IAA021301.doc - IAA021301execution.doc *********************************************************************** Bear Stearns is not responsible for any recommendation, solicitation, offer or agreement or any information about any transaction, customer account or account activity contained in this communication. ***********************************************************************",0,1
